,Ano de eleição,Município,UF,Região,Turno,Nome candidato,Cargo,Votos válidos,Votos nominais,Estado_Municipio
3141,2018,SANTA RITA DE MINAS,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3802,2274,MG-SANTA RITA DE MINAS
1207,2018,SANTA RITA DO ITUETO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,3309,2003,MG-SANTA RITA DO ITUETO
14991,2018,SANTA RITA DO SAPUCAI,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,20933,16799,MG-SANTA RITA DO SAPUCAI
421,2018,SANTA ROSA DA SERRA,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,1972,990,MG-SANTA ROSA DA SERRA
533,2018,SANTA VITORIA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,11523,6615,MG-SANTA VITORIA
15900,2018,SANTANA DA VARGEM,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,4161,2312,MG-SANTANA DA VARGEM
13125,2018,SANTANA DE CATAGUASES,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2318,1284,MG-SANTANA DE CATAGUASES
14121,2018,SANTANA DE PIRAPAMA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4527,2385,MG-SANTANA DE PIRAPAMA
13925,2018,SANTANA DO DESERTO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2306,1413,MG-SANTANA DO DESERTO
13083,2018,SANTANA DO GARAMBEU,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,1468,1028,MG-SANTANA DO GARAMBEU
5105,2018,SANTANA DO JACARE,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,2506,1541,MG-SANTANA DO JACARE
10448,2018,SANTANA DO MANHUACU,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,4631,2764,MG-SANTANA DO MANHUACU
15159,2018,SANTANA DO PARAISO,MG,SUDESTE,2,JAIR MESSIAS BOLSONARO,Presidente,13966,9626,MG-SANTANA DO PARAISO
2767,2018,SANTANA DO RIACHO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,3009,1551,MG-SANTANA DO RIACHO
6824,2018,SANTANA DOS MONTES,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2372,1257,MG-SANTANA DOS MONTES
7595,2018,SANTO ANTONIO DO AMPARO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,8780,5156,MG-SANTO ANTONIO DO AMPARO
2340,2018,SANTO ANTONIO DO AVENTUREIRO,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2353,1205,MG-SANTO ANTONIO DO AVENTUREIRO
3760,2018,SANTO ANTONIO DO GRAMA,MG,SUDESTE,2,FERNANDO HADDAD,Presidente,2463,1603,MG-SANTO ANTONIO DO GRAMA
